MONTH,All_items,Food,Food at home,Food away from home,Energy,Gasoline (all types),Electricity,Natural gas (piped),All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Medical care commodities,Services less energy services,Shelter,Medical care services,Education and communication
2023-12-01,3.40,2.70,1.30,5.20,-2.00,-1.90,3.30,-13.80,3.90,0.20,1.00,1.00,4.70,5.30,6.20,-0.50,-0.10
2024-01-01,3.10,2.60,1.20,5.10,-4.60,-6.40,3.80,-17.80,3.90,-0.30,0.10,0.70,3.00,5.40,6.00,0.60,0.00
2024-02-01,3.20,2.20,1.00,4.50,-1.90,-3.90,3.60,-8.80,3.80,-0.30,0.00,0.40,2.90,5.20,5.70,1.10,0.40
2024-03-01,3.50,2.20,1.20,4.20,2.10,1.30,5.00,-3.20,3.80,-0.70,0.40,-0.10,2.50,5.40,5.70,2.10,0.20
2024-04-01,3.40,2.20,1.10,4.10,2.60,1.20,5.10,-1.90,3.60,-1.30,1.30,-0.40,2.50,5.30,5.50,2.70,0.40
2024-05-01,3.30,2.10,1.00,4.00,3.70,2.20,5.90,0.20,3.40,-1.70,0.80,-0.80,3.10,5.30,5.40,3.10,0.50
2024-06-01,3.00,2.20,1.10,4.10,1.00,-2.50,4.40,3.70,3.30,-1.80,0.80,-0.90,3.10,5.10,5.20,3.30,0.70
2024-07-01,2.90,2.20,1.10,4.10,1.10,-2.20,4.90,1.50,3.20,-1.90,0.20,-1.00,2.80,4.90,5.10,3.30,0.90
2024-08-01,2.50,2.10,0.90,4.00,-4.00,-10.30,3.90,-0.10,3.20,-1.90,0.30,-1.20,2.00,4.90,5.20,3.20,1.00
2024-09-01,2.40,2.30,1.30,3.90,-6.80,-15.30,3.70,2.00,3.30,-1.00,1.80,-1.30,1.60,4.70,4.90,3.60,0.90
